,Country,Ranking,Year,Total,Antidiscrimination Legislation,Marriage / Civil Partnership,Adoption Allowed,LGBT Marketing,Equal Age of Consent,Religious Influence,HIV Travel Restrictions,Anti-Gay Laws,Homosexuality Illegal,Pride Banned,Locals Hostile,Prosecution,Murders,Death Sentence,Trans Gender Rights,Intersex / 3rd Option,Conversion Therapy
0,Afghanistan,183,2015,-9,0,0,0,0,0,-2,0,-1,-1,0,-2,0,-2,-1,0,0,0
1,Albania,55,2015,0,2,0,0,0,1,-1,0,0,0,0,-2,0,0,0,0,0,0
2,Algeria,183,2015,-9,0,0,0,0,0,-2,0,-1,-1,0,-2,-1,-2,0,0,0,0
3,Andorra,22,2015,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,Angola,104,2015,-4,0,0,0,0,0,-1,0,-1,-1,0,-1,0,0,0,0,0,0
5,Antigua & Barbuda,104,2015,-4,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0
6,Argentina,22,2015,4,0,2,2,1,1,-1,0,0,0,0,-1,0,0,0,0,0,0
7,Armenia,77,2015,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
8,Aruba,43,2015,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,Australia,22,2015,4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Austria,22,2015,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11,Azerbaijan,77,2015,-1,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0
12,Bahamas,141,2015,-6,0,0,0,0,0,-1,0,-1,0,0,-2,0,-2,0,0,0,0
13,Bahrain,122,2015,-5,0,0,0,0,0,-2,0,0,0,0,-2,-1,0,0,0,0,0
14,Bangladesh,141,2015,-6,0,0,0,0,0,-2,0,-1,-1,0,-2,0,0,0,0,0,0
15,Barbados,104,2015,-4,0,0,0,0,0,-1,0,-1,-1,0,-1,0,0,0,0,0,0
16,Belarus,122,2015,-5,0,0,0,0,1,-1,-1,-1,0,-1,-2,0,0,0,0,0,0
17,Belgium,3,2015,8,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18,Belize,122,2015,-5,0,0,0,0,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0
19,Benin,55,2015,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0
20,Bhutan,141,2015,-6,0,0,0,0,0,-2,-1,-1,-1,0,-1,0,0,0,0,0,0
21,Bolivia,43,2015,1,2,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
22,Bosnia-Herzegovina,43,2015,1,2,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0
23,Botswana,104,2015,-4,0,0,0,0,0,-1,0,-1,-1,0,-1,0,0,0,0,0,0
24,Brazil,18,2015,5,1,2,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0
25,British US Virgin Islands,55,2015,0,3,0,0,0,1,-2,0,-1,0,0,-1,0,0,0,0,0,0
26,Brunei,141,2015,-6,0,0,0,0,0,-2,-1,-1,-1,0,-1,0,0,0,0,0,0
27,Bulgaria,40,2015,2,2,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0
28,Burundi,122,2015,-5,0,0,0,0,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0
29,Cape Verde,90,2015,-2,1,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,0
30,Cambodia,55,2015,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0
31,Cameroon,183,2015,-9,0,0,0,0,0,-2,0,-1,-1,0,-2,-1,-2,0,0,0,0
32,Canada,3,2015,8,3,2,2,1,1,0,-1,0,0,0,0,0,0,0,0,0,0
33,Central African Republic,141,2015,-6,0,0,0,0,0,-2,0,-1,-1,0,-2,0,0,0,0,0,0
34,Chad,104,2015,-4,0,0,0,0,0,-2,0,0,0,0,-2,0,0,0,0,0,0
35,Chile,77,2015,-1,1,1,0,0,0,-1,0,0,0,0,0,0,-2,0,0,0,0
36,China incl. Hong Kong,55,2015,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0
37,Colombia,55,2015,0,2,1,0,0,1,-1,0,0,0,0,-1,0,-2,0,0,0,0
38,Comoros Islands,161,2015,-7,0,0,0,0,0,-2,0,-1,-1,0,-2,-1,0,0,0,0,0
39,Costa Rica,43,2015,1,2,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
40,Croatia,43,2015,1,2,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
41,Cuba,104,2015,-4,0,0,0,0,1,0,-1,-1,0,0,-1,0,-2,0,0,0,0
42,Cyprus,55,2015,0,1,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
43,Czech Republic,22,2015,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,Dem. Rep. of Congo,104,2015,-4,0,0,0,0,0,-2,0,0,0,0,-2,0,0,0,0,0,0
45,Denmark,3,2015,8,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
46,Djibouti,141,2015,-6,0,0,0,0,0,-2,0,0,-1,0,-2,-1,0,0,0,0,0
47,Dominica,161,2015,-7,0,0,0,0,0,-2,0,-1,-1,0,-2,-1,0,0,0,0,0
48,Dominican Republic,122,2015,-5,0,0,0,0,0,-1,-1,0,0,0,-1,0,-2,0,0,0,0
49,Ecuador,40,2015,2,3,1,0,0,1,-1,-1,0,0,0,-1,0,0,0,0,0,0
50,Egypt,141,2015,-6,0,0,0,0,0,-2,0,-1,-1,0,-1,-1,0,0,0,0,0
51,El Salvador,96,2015,-3,1,0,0,0,1,-1,0,0,0,0,-2,0,-2,0,0,0,0
52,Equatorial Guinea,104,2015,-4,0,0,0,0,1,-2,-1,0,0,0,-2,0,0,0,0,0,0
53,Eritrea,141,2015,-6,0,0,0,0,0,-2,0,-1,-1,0,-2,0,0,0,0,0,0
54,Estonia,22,2015,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,Ethiopia,161,2015,-7,0,0,0,0,0,-2,0,-1,-1,0,-2,-1,0,0,0,0,0
56,Fiji,90,2015,-2,0,0,0,0,1,-1,-1,0,0,0,-1,0,0,0,0,0,0
57,Finland,9,2015,7,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,France,3,2015,8,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
59,French Polynesia,14,2015,6,2,2,2,0,1,-1,0,0,0,0,0,0,0,0,0,0,0
60,Gabon,90,2015,-2,0,0,0,0,1,-1,0,0,0,0,-2,0,0,0,0,0,0
61,Gambia,141,2015,-6,0,0,0,0,0,-2,0,-1,-1,0,-2,0,0,0,0,0,0
62,Georgia,96,2015,-3,1,0,0,0,1,-2,0,0,0,0,-1,0,-2,0,0,0,0
63,Germany,14,2015,6,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
64,Ghana,141,2015,-6,0,0,0,0,0,-2,0,-1,-1,0,-2,0,0,0,0,0,0
65,Gibraltar,22,2015,4,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
66,Greece,55,2015,0,1,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
67,Greenland,22,2015,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,Grenada,122,2015,-5,0,0,0,0,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0
69,Guadeloupe,18,2015,5,2,2,2,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
70,Guam,55,2015,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0
71,Guatemala,104,2015,-4,0,0,0,0,1,-1,0,0,0,0,-2,0,-2,0,0,0,0
72,Guinea-Bissau,77,2015,-1,0,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
73,Guyana,183,2015,-9,0,0,0,0,0,-2,0,-1,-1,0,-2,-1,-2,0,0,0,0
74,Haiti,122,2015,-5,0,0,0,0,1,-2,0,0,0,0,-2,0,-2,0,0,0,0
75,Honduras,96,2015,-3,1,0,0,0,1,-1,0,-1,0,0,-1,0,-2,0,0,0,0
76,Hungary,39,2015,3,2,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0
77,Iceland,9,2015,7,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78,India,104,2015,-4,0,0,0,0,0,-1,0,-1,-1,0,-1,0,0,0,0,0,0
79,Iran,192,2015,-13,0,0,0,0,0,-2,0,-1,-1,0,-1,-1,-2,-5,0,0,0
80,Iraq,161,2015,-7,0,0,0,0,0,-2,-1,0,0,0,-2,0,-2,0,0,0,0
81,Ireland,22,2015,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82,Israel,22,2015,4,1,1,2,1,1,-1,0,0,0,0,-1,0,0,0,0,0,0
83,Italy,55,2015,0,1,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
84,Jamaica,183,2015,-9,0,0,0,0,0,-2,0,-1,-1,0,-2,-1,-2,0,0,0,0
85,Japan,55,2015,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0
86,Jordan,176,2015,-8,0,0,0,0,1,-2,-1,-1,0,0,-2,-1,-2,0,0,0,0
87,Kazakhstan,77,2015,-1,0,0,0,0,1,0,-1,0,0,0,-1,0,0,0,0,0,0
88,Kenya,122,2015,-5,0,0,0,0,1,-1,0,-1,-1,0,-2,-1,0,0,0,0,0
89,Korea South,104,2015,-4,0,0,0,0,1,-2,-1,-1,0,0,-1,0,0,0,0,0,0
90,Kosovo,55,2015,0,3,0,0,0,1,-2,0,0,0,0,-2,0,0,0,0,0,0
91,Kuwait,161,2015,-7,0,0,0,0,0,-2,0,-1,-1,0,-2,-1,0,0,0,0,0
92,Kyrgyzstan,96,2015,-3,0,0,0,0,1,-1,-1,0,0,0,-2,0,0,0,0,0,0
93,Laos,77,2015,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
94,Latvia,55,2015,0,1,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0
95,Bermuda,45,2018,2,1,1,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0
96,Bosnia-Herzegovina,45,2018,2,2,0,0,0,1,0,0,0,0,-1,-1,0,0,0,1,0,0
97,Croatia,45,2018,2,2,1,0,0,1,-1,0,-1,0,0,-1,0,0,0,1,0,0
98,Greece,45,2018,2,1,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0
